Unnamed: 0,rep,hv,dataset,exp,num_pts,avg_pred_perf,avg_fair_perf,objective1,objective2
19,19,0.8404286864065742,heart_disease,Equal Weights,13,0.8335435056746532,0.0560524746571258,0,0
20,0,0.7994710582586187,heart_disease,Deterministic Weights,5,0.8786885245901639,0.1574370709382151,0,0
21,1,0.4456035767511177,heart_disease,Deterministic Weights,13,0.8108448928121061,0.4895104895104895,0,0
22,2,0.6829454698307158,heart_disease,Deterministic Weights,46,0.9173200285103352,0.3344228235532583,0,0
23,3,0.6633879781420766,heart_disease,Deterministic Weights,4,0.9139344262295082,0.3055555555555556,0,0
24,4,0.8895628415300547,heart_disease,Deterministic Weights,13,0.918032786885246,0.1131623931623931,0,0
25,5,0.8384074941451991,heart_disease,Deterministic Weights,5,0.9344262295081968,0.1027568922305764,0,0
26,6,0.6607346366266329,heart_disease,Deterministic Weights,14,0.8688524590163933,0.2874331550802138,0,0
27,7,0.4666666666666667,heart_disease,Deterministic Weights,46,0.743406985032074,0.4521739130434782,0,0
28,8,0.503688524590164,heart_disease,Deterministic Weights,21,0.9008587041373928,0.4738095238095238,0,0
29,9,0.4754098360655737,heart_disease,Deterministic Weights,8,0.846311475409836,0.4563953488372093,0,0
30,10,0.6162224949592355,heart_disease,Deterministic Weights,8,0.8237704918032787,0.313836898395722,0,0
31,11,0.5970193740685544,heart_disease,Deterministic Weights,24,0.805327868852459,0.3686363636363635,0,0
32,12,0.4586600142551674,heart_disease,Deterministic Weights,21,0.8298204527712724,0.5186335403726706,0,0
33,13,0.4678777137793531,heart_disease,Deterministic Weights,2,0.8524590163934427,0.4864864864864864,0,0
34,14,0.7461756938561961,heart_disease,Deterministic Weights,1,0.819672131147541,0.0896656534954407,0,0
35,15,0.6084421846234769,heart_disease,Deterministic Weights,9,0.8597449908925319,0.3429887106357694,0,0
36,16,0.7448801634361453,heart_disease,Deterministic Weights,23,0.82679971489665,0.2275009911457645,0,0
37,17,0.3706343549536706,heart_disease,Deterministic Weights,6,0.8524590163934426,0.5652173913043478,0,0
38,18,0.6113650693568726,heart_disease,Deterministic Weights,9,0.8542805100182149,0.3547008547008546,0,0
39,19,0.8400474435548777,heart_disease,Deterministic Weights,4,0.8360655737704918,0.0636304909560723,0,0
40,0,0.8682897550362007,heart_disease,Evolved Weights,92,0.5673556664290806,0.0041040692468411,0,0
41,1,0.7093889716840536,heart_disease,Evolved Weights,121,0.5565641511990246,0.0777141247182569,0,0
42,2,0.8319958729794796,heart_disease,Evolved Weights,23,0.8895224518888096,0.2729299685821425,0,0
43,3,0.8327868852459016,heart_disease,Evolved Weights,119,0.3737429397988704,0.0125116713352007,0,0
